Marfijev zakon,"Ako nešto može poći naopako, poći će naopako."
Marfijev zakon,Ništa nije tako lako kao što izgleda.
Marfijev zakon,Sve zahtijeva više vremena nego što misliš.
Marfijev zakon,"Ako postoji mogućnost da više stvari pođe naopako, poći će naopako ona koja će prouzročiti najveću štetu."
Marfijev zakon,"Ako primjetiš da postoje četiri načina na koja stvari mogu poći naopako, pa ta četiri izbjegneš, smjesta će se ukazati peti."
Marfijev zakon,"Prepuštene sebi, stvari imaju sklonost da se kreću od zla na gore."
Marfijev zakon,"Kad god pođeš nešto raditi, najprije moraš učiniti nešto drugo."
Marfijev zakon,Svako rješenje rađa nove probleme.
Marfijev zakon,"Nemoguće je bilo šta učiniti otpornim na budale, jer budale su tako inventivne."
Marfijev zakon,Priroda je uvijek na strani skrivenih grešaka.
Marfijev zakon,Majka Priroda je kučka.
Marfijev zakon,Smiješi se ... sutra će biti gore.
Marfijev zakon,Materija će biti oštećena upravno proporcionalno svojoj vrijednosti.
Marfijev zakon,Sve ide naopako odjednom.
Hillov komentar Marfijevog zakona,"Ako promjenom nemamo što izgubiti, opusti se."
Hillov komentar Marfijevog zakona,"Ako promjenom možemo sve dobiti, opusti se."
Otooleov komentar Marfijevog zakona,Murphy je bio optimist.
Bolingov postulat,"Osjećaš li se dobro, ne brini. Proći će te."
Ilesov zakon,Uvijek postoji lakši način da se nešto uradi.
Chisiiolmov drugi zakon,"Kada stvari idu dobro, nešto će poći loše."
Scottov prvi zakon,"Bez obzira šta je pošlo naopako, vjerojatno će se baš to činiti ispravnim."
Scottov drugi zakon,"Kada se greška otkrije, a zatim ispravi, ustanovit će se da je zapravo na početku sve bilo tačno."
Finagleov prvi zakon,"Ako eksperiment uspijeva, nešto je krenulo loše."
Finagleov drugi zakon,"Bez obzira kakav bio dobiveni rezultat, uvijek će se naći neko spreman da ga: a) pogrešno interpretira, b) ukrade, c) vjeruje da je dobiven prema njegovoj vlastitoj omiljenoj teoriji."
Finagleov treći zakon,"U bilo kojem skupu podataka onaj podatak koji je najočiglednije ispravan, bez ikakve potrebe za provjerom, jest greška."
Finagleov četvrti zakon,"Kad se jednom posao pokvari, svako nastojanje da to popraviš samo će pogoršati stvari."
Finagleovo pravilo,"Ako je sumnjivo, potrudi se da zvuči uvjerljivo."
Finagleovo pravilo,Pokusi bi trebali biti ponovljivi - trebali bi svi propasti na isti način.
Finagleovo pravilo,Ne vjeruj u čuda - osloni se na njih.
Vvingov aksiom,Svi Finagleovi zakoni mogu se izvrdati tako da se savlada jednostavna vještina rada bez razmišljanja.
Gumpersonov zakon,Vjerojvatnoća da se nešto dogodi u obratnoj je proporcionalnosti s poželjnošću istog.
Issavvijev zakon napretka,Većina stvari stalno ide nagore.
Issavvijev zakon napretka,Put napretka: prečica je najveća udaljenost između dvije tačke.
Issavvijev zakon napretka,Dijalektika napretka: izravna akcija stvara izravnu reakciju.
Issavvijev zakon napretka,"Hod napretka: društvo je mazga a ne auto ... potjeraš li ga prejako, ritnut će se i zbaciti svog jahača."
Soddov prvi zakon,"Kad neko pokušava nešto učiniti, on ili ona bit će u tome ometani nesvjesnom intervencijom neke druge prisutnosti (žive ili nežive). Neke se stvari, unatoč tome, ipak dovrše, budući da intervenirajuća prisutnost i sama nešto pokušava, pa je, naravno, podložna ometanju."
Soddov drugi zakon,Prije ili kasnije mora se zbiti najgori mogući sticaj okolnosti.
Simonov zakon,Sve što sastaviš raspadne se prije ili kasnije.
Rudinov zakon,"U krizama koje tjeraju ljude da biraju između alternativnih smjerova djelovanja, većina ljudi izabrat će onaj najgori mogući."
Ehrmanov komentar,Stvari će otići nagore prije nego krenu nabolje.
Ehrmanov komentar,Ko kaže da će stvari krenuti nabolje?
Pudderov zakon,"Sve što počinje dobro, završava loše. Sve što počinje loše, završava još lošije."
Hovveov zakon,Svako ima plan koji ne pali.
Sturgeonov zakon,90% svega je sranje.
Beifeldovo načelo,"Vjerovatnoća da mlad muškarac sretne poželjnu mladu ženu raste piramidalnom progresijom kad je on već u društvu sa: (1) svojom djevojkom, (2) svojom ženom, (3) naočitijim i bogatijim muškim prijateljem."
